cve_ent,cve_mun,cve_loc,nom_loc
2,2,192,Ejido Hermosillo
2,2,206,Ejido Jiquilpan
2,2,212,Poblado Lázaro Cárdenas (La Veintiocho)
2,2,223,Ejido México
2,2,231,Ciudad Morelos (Cuervos)
2,2,234,Nayarit Llamada
2,2,237,Nuevo León
2,2,253,Ejido Toluca
2,2,258,Ejido Plan de Ayala
2,2,266,Colonia la Puerta
2,2,268,Ejido Hechicera
2,2,270,Ejido Quintana Roo
2,2,358,Poblado Alfredo V. Bonfil
2,2,362,Ejido el Marítimo
2,2,394,Ricardo Mazón Guerrero (Colonia Baja California el Polvorín)
2,2,456,Benito Juárez (Ejido Tecolotes)
2,2,461,Ciudad Coahuila (Kilómetro Cincuenta y Siete)
2,2,521,Poblado Francisco Santana Peralta
2,2,1181,Ejido Mezquital
2,2,1273,Ejido Tehuantepec (Santa Rosa)
2,2,4925,Renacimiento del Valle
2,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,2,9999,Localidad no especificada
2,3,0,Tecate
2,3,1,Tecate
2,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,3,9999,Localidad no especificada
2,4,0,Tijuana
2,4,1,Tijuana
2,4,1351,San Antonio
2,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,4,9999,Localidad no especificada
2,5,0,Playas de Rosarito
2,5,1,Playas de Rosarito
2,5,9999,Localidad no especificada
2,6,0,San Quintín
2,6,1,San Quintín
2,6,40,Camalú
2,6,85,Colonia Nueva Era
2,6,111,Ejido Francisco Villa (San Simón)
2,6,121,Ejido Papalote
2,6,248,Emiliano Zapata
2,6,585,Lázaro Cárdenas
2,6,628,Nuevo Centro de Población Padre Kino
2,6,863,Vicente Guerrero
2,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
2,6,9999,Localidad no especificada
2,7,0,San Felipe
2,7,1,San Felipe
2,7,9999,Localidad no especificada
2,998,0,No aplica
2,999,0,Municipio no especificado
2,999,9999,Localidad no especificada
3,0,0,Baja California Sur
3,1,0,Comondú
3,1,1,Ciudad Constitución
3,1,3,Puerto Adolfo López Mateos
3,1,133,Ciudad Insurgentes
3,1,280,Puerto San Carlos
3,1,335,Santo Domingo
3,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,1,9999,Localidad no especificada
3,2,0,Mulegé
3,2,1,Santa Rosalía
3,2,15,Bahía Tortugas
3,2,66,Guerrero Negro
3,2,97,Heroica Mulegé
3,2,116,Punta Abreojos
3,2,149,San Ignacio
3,2,482,Villa Alberto Andrés Alvarado Arámburo
3,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,2,9999,Localidad no especificada
3,3,0,La Paz
3,3,1,La Paz
3,3,3,Todos Santos
3,3,697,San Juan de los Planes
3,3,766,San Antonio
3,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,3,9999,Localidad no especificada
3,8,0,Los Cabos
3,8,1,San José del Cabo
3,8,54,Cabo San Lucas
3,8,217,La Ribera
3,8,280,Santiago
3,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,8,9999,Localidad no especificada
3,9,0,Loreto
3,9,1,Loreto
3,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
3,9,9999,Localidad no especificada
3,998,0,No aplica
3,999,0,Municipio no especificado
3,999,9999,Localidad no especificada
4,0,0,Campeche
4,1,0,Calkiní
4,1,1,Calkiní
4,1,4,Bécal
4,1,8,Nunkiní
4,1,12,Santa Cruz Ex-Hacienda
4,1,13,Santa Cruz Pueblo
4,1,15,Tepakán
4,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,1,9999,Localidad no especificada
4,2,0,Campeche
4,2,1,San Francisco de Campeche
4,2,73,Castamay
4,2,77,Chiná
4,2,81,Hampolol
4,2,87,Lerma
4,2,90,Nilchí
4,2,91,Nohakal
4,2,96,Pich
4,2,110,Alfredo V. Bonfil
4,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,2,9999,Localidad no especificada
4,3,0,Carmen
4,3,1,Ciudad del Carmen
4,3,5,Nuevo Progreso
4,3,6,Atasta
4,3,81,Chicbul
4,3,101,San Antonio Cárdenas
4,3,199,Isla Aguada
4,3,614,Sabancuy
4,3,3263,Conquista Campesina
4,3,3333,Mamantel (Pancho Villa)
4,3,3420,Nueva Chontalpa
4,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,3,9999,Localidad no especificada
4,4,0,Champotón
4,4,1,Champotón
4,4,10,Aquiles Serdán (Chuiná)
4,4,24,San Pablo Pixtún
4,4,36,Sihochac
4,4,47,Xbacab
4,4,91,Ley Federal de Reforma Agraria
4,4,432,Carrillo Puerto
4,4,442,Cinco de Febrero
4,4,1603,Miguel Colorado
4,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,4,9999,Localidad no especificada
4,5,0,Hecelchakán
4,5,1,Hecelchakán
4,5,2,Cumpich
4,5,4,Dzitnup
4,5,6,Pocboc
4,5,7,Pomuch
4,5,8,Santa Cruz
4,5,65,Blanca Flor
4,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,5,9999,Localidad no especificada
4,6,0,Hopelchén
4,6,1,Hopelchén
4,6,3,Bolonchén de Rejón
4,6,19,Dzibalchén
4,6,54,Xcupil
4,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,7,0,Palizada
4,7,1,Palizada
4,7,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,7,9999,Localidad no especificada
4,8,0,Tenabo
4,8,1,Tenabo
4,8,5,Tinún
4,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,9,0,Escárcega
4,9,1,Escárcega
4,9,2,División del Norte
4,9,108,Don Samuel
4,9,936,Altamira de Zináparo
4,9,1002,Silvituc
4,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,9,9999,Localidad no especificada
4,10,0,Calakmul
4,10,1,Xpujil
4,10,95,Gustavo Díaz Ordaz (San Antonio Soda)
4,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,10,9999,Localidad no especificada
4,11,0,Candelaria
4,11,1,Candelaria
4,11,187,Estado de México
4,11,340,Miguel Alemán
4,11,342,Miguel Hidalgo y Costilla
4,11,382,Pablo García
4,11,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,11,9999,Localidad no especificada
4,12,0,Seybaplaya
4,12,1,Seybaplaya
4,12,55,Villa Madero
4,12,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,13,0,Dzitbalché
4,13,1,Dzitbalché
4,13,3,Bacabchén
4,13,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
4,998,0,No aplica
4,999,0,Municipio no especificado
4,999,9999,Localidad no especificada
5,0,0,Coahuila de Zaragoza
5,1,0,Abasolo
5,1,1,Abasolo
5,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,2,0,Acuña
5,2,1,Ciudad Acuña
5,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,2,9999,Localidad no especificada
5,3,0,Allende
5,3,1,Allende
5,3,16,Río Bravo
5,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,3,9999,Localidad no especificada
5,4,0,Arteaga
5,4,1,Arteaga
5,4,47,Escobedo
5,4,107,San Antonio de las Alazanas
5,4,145,El Tunal
5,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,4,9999,Localidad no especificada
5,5,0,Candela
5,5,1,Candela
5,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,6,0,Castaños
5,6,1,Castaños
5,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,6,9999,Localidad no especificada
5,7,0,Cuatro Ciénegas
5,7,1,Cuatro Ciénegas de Carranza
5,7,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,7,9999,Localidad no especificada
5,8,0,Escobedo
5,8,1,Escobedo
5,8,9,Primero de Mayo
5,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,9,0,Francisco I. Madero
5,9,1,Francisco I. Madero
5,9,10,Buenavista de Arriba
5,9,26,Jaboncillo
5,9,28,Lequeitio
5,9,47,San Juan de Ulúa
5,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,9,9999,Localidad no especificada
5,10,0,Frontera
5,10,1,Frontera
5,10,2,La Cruz
5,10,5,Ocho de Enero
5,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,11,0,General Cepeda
5,11,1,General Cepeda
5,11,59,La Rosa
5,11,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,11,9999,Localidad no especificada
5,12,0,Guerrero
5,12,1,Guerrero
5,12,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,12,9999,Localidad no especificada
5,13,0,Hidalgo
5,13,1,Hidalgo
5,14,0,Jiménez
5,14,1,Jiménez
5,14,7,La Muralla
5,14,18,Purísima
5,14,20,San Carlos
5,14,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,14,9999,Localidad no especificada
5,15,0,Juárez
5,15,1,Juárez
5,15,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,16,0,Lamadrid
5,16,1,Lamadrid
5,17,0,Matamoros
5,17,1,Matamoros
5,17,5,Unión del Barreal
5,17,12,San Antonio del Coyote
5,17,25,Hidalgo
5,17,28,Manantial
5,17,35,Purísima
5,17,122,El Cambio
5,17,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,17,9999,Localidad no especificada
5,18,0,Monclova
5,18,1,Monclova
5,18,9999,Localidad no especificada
5,19,0,Morelos
5,19,1,Morelos
5,19,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,19,9999,Localidad no especificada
5,20,0,Múzquiz
5,20,1,Ciudad Melchor Múzquiz
5,20,43,Las Esperanzas
5,20,70,Minas de Barroterán
5,20,93,Palaú
5,20,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,20,9999,Localidad no especificada
5,21,0,Nadadores
5,21,1,Nadadores
5,21,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,21,9999,Localidad no especificada
5,22,0,Nava
5,22,1,Nava
5,22,340,Santo Domingo
5,22,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,22,9999,Localidad no especificada
5,23,0,Ocampo
5,23,1,Ocampo
5,23,453,Laguna del Rey (Químicas del Rey)
5,23,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,24,0,Parras
5,24,1,Parras de la Fuente
5,24,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,24,9999,Localidad no especificada
5,25,0,Piedras Negras
5,25,1,Piedras Negras
5,25,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,25,9999,Localidad no especificada
5,26,0,Progreso
5,26,1,Progreso
5,26,7,San José de Aura
5,26,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,27,0,Ramos Arizpe
5,27,1,Ramos Arizpe
5,27,70,Paredón
5,27,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,27,9999,Localidad no especificada
5,28,0,Sabinas
5,28,1,Sabinas
5,28,3,Cloete
5,28,122,Barrio Seis (Agujita)
5,28,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,28,9999,Localidad no especificada
5,29,0,Sacramento
5,29,1,Sacramento
5,30,0,Saltillo
5,30,1,Saltillo
5,30,73,Agua Nueva
5,30,79,Astillero
5,30,123,Gómez Farías
5,30,177,Presa de San Pedro
5,30,214,San Juan de la Vaquería
5,30,215,San Juan del Retiro
5,30,247,La Ventura
5,30,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,30,9999,Localidad no especificada
5,31,0,San Buenaventura
5,31,1,San Buenaventura
5,31,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,31,9999,Localidad no especificada
5,32,0,San Juan de Sabinas
5,32,1,San Juan de Sabinas
5,32,14,Nueva Rosita
5,32,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,33,0,San Pedro
5,33,1,San Pedro
5,33,22,Concordia (La Rosita)
5,33,28,El Estribo
5,33,36,Lázaro Cárdenas (Dolores)
5,33,37,Luchana
5,33,72,San Esteban de Abajo
5,33,73,San Felipe (San Felipe de Purcell)
5,33,79,San Lorenzo
5,33,83,San Marcos
5,33,84,San Miguel
5,33,107,Tacubaya
5,33,186,Candelaria
5,33,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,33,9999,Localidad no especificada
5,34,0,Sierra Mojada
5,34,1,Sierra Mojada
5,34,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,35,0,Torreón
5,35,1,Torreón
5,35,152,La Concha
5,35,158,La Flor de Jimulco
5,35,178,La Partida
5,35,180,La Paz
5,35,299,La Joyita (Recreativo la Hacienda)
5,35,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,35,9999,Localidad no especificada
5,36,0,Viesca
5,36,1,Viesca
5,36,14,Gilita
5,36,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,37,0,Villa Unión
5,37,1,Villa Unión
5,37,9999,Localidad no especificada
5,38,0,Zaragoza
5,38,1,Zaragoza
5,38,38,Congregación el Remolino
5,38,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
5,38,9999,Localidad no especificada
5,998,0,No aplica
5,999,0,Municipio no especificado
5,999,9999,Localidad no especificada
6,0,0,Colima
6,1,0,Armería
6,1,1,Ciudad de Armería
6,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,2,0,Colima
6,2,1,Colima
6,2,109,Los Tepames
6,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,2,9999,Localidad no especificada
6,3,0,Comala
6,3,1,Comala
6,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,4,0,Coquimatlán
6,4,1,Coquimatlán
6,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,5,0,Cuauhtémoc
6,5,1,Cuauhtémoc
6,5,4,Alcaraces
6,5,18,Quesería
6,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,6,0,Ixtlahuacán
6,6,1,Ixtlahuacán
6,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,7,0,Manzanillo
6,7,1,Manzanillo
6,7,9999,Localidad no especificada
6,8,0,Minatitlán
6,8,1,Minatitlán
6,9,0,Tecomán
6,9,1,Tecomán
6,9,9999,Localidad no especificada
6,10,0,Villa de Álvarez
6,10,1,Ciudad de Villa de Álvarez
6,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
6,998,0,No aplica
6,999,0,Municipio no especificado
6,999,9999,Localidad no especificada
7,0,0,Chiapas
7,1,0,Acacoyagua
7,1,1,Acacoyagua
7,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,2,0,Acala
7,2,1,Acala
7,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,2,9999,Localidad no especificada
7,3,0,Acapetahua
7,3,1,Acapetahua
7,3,5,El Arenal
7,3,12,Consuelo Ulapa
7,3,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,3,9999,Localidad no especificada
7,4,0,Altamirano
7,4,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,5,0,Amatán
7,5,1,Amatán
7,5,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,6,0,Amatenango de la Frontera
7,6,1,Amatenango de la Frontera
7,6,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,7,0,Amatenango del Valle
7,7,1,Amatenango del Valle
7,7,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,8,0,Ángel Albino Corzo
7,8,1,Jaltenango de la Paz (Ángel Albino Corzo)
7,8,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,9,0,Arriaga
7,9,1,Arriaga
7,9,41,Emiliano Zapata
7,9,161,Villa del Mar
7,9,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,10,0,Bejucal de Ocampo
7,10,1,Bejucal de Ocampo
7,10,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,11,0,Bella Vista
7,11,1,Bella Vista
7,11,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,12,0,Berriozábal
7,12,1,Berriozábal
7,12,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,13,0,Bochil
7,13,1,Bochil
7,13,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,13,9999,Localidad no especificada
7,14,0,El Bosque
7,14,1,El Bosque
7,14,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,15,0,Cacahoatán
7,15,1,Cacahoatán
7,15,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,16,0,Catazajá
7,16,1,Catazajá
7,16,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,17,0,Cintalapa
7,17,1,Cintalapa de Figueroa
7,17,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,17,9999,Localidad no especificada
7,18,0,Coapilla
7,18,1,Coapilla
7,18,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,18,9999,Localidad no especificada
7,19,0,Comitán de Domínguez
7,19,1,Comitán de Domínguez
7,19,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,19,9999,Localidad no especificada
7,20,0,La Concordia
7,20,1,La Concordia
7,20,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,21,0,Copainalá
7,21,1,Copainalá
7,21,20,El Rosario
7,21,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,21,9999,Localidad no especificada
7,22,0,Chalchihuitán
7,22,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,23,0,Chamula
7,23,1,Chamula
7,23,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,24,0,Chanal
7,24,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,25,0,Chapultenango
7,25,1,Chapultenango
7,25,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,26,0,Chenalhó
7,26,1,Chenalhó
7,26,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,27,0,Chiapa de Corzo
7,27,1,Chiapa de Corzo
7,27,3,América Libre
7,27,22,Cupasmí
7,27,33,Las Flechas
7,27,35,Galecio Narcía
7,27,42,Ignacio Allende
7,27,45,Julián Grajales
7,27,79,Nuevo Carmen Tonapac
7,27,202,Santa Elena
7,27,498,Recuerdo Santo Tomás
7,27,622,Jardines del Grijalva
7,27,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,27,9999,Localidad no especificada
7,28,0,Chiapilla
7,28,1,Chiapilla
7,28,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,29,0,Chicoasén
7,29,1,Chicoasén
7,29,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,30,0,Chicomuselo
7,30,1,Chicomuselo
7,30,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,31,0,Chilón
7,31,1,Chilón
7,31,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,32,0,Escuintla
7,32,1,Escuintla
7,32,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,32,9999,Localidad no especificada
7,34,0,Frontera Comalapa
7,34,1,Frontera Comalapa
7,34,37,Monte Redondo
7,34,53,Paso Hondo
7,34,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,35,0,Frontera Hidalgo
7,35,1,Frontera Hidalgo
7,35,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,35,9999,Localidad no especificada
7,36,0,La Grandeza
7,36,1,La Grandeza
7,36,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,37,0,Huehuetán
7,37,1,Huehuetán
7,37,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,38,0,Huixtán
7,38,1,Huixtán
7,38,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,39,0,Huitiupán
7,39,1,Huitiupán
7,39,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,40,0,Huixtla
7,40,1,Huixtla
7,40,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,40,9999,Localidad no especificada
7,41,0,La Independencia
7,41,1,La Independencia
7,41,81,El Triunfo
7,41,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,42,0,Ixhuatán
7,42,1,Ixhuatán
7,42,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,43,0,Ixtacomitán
7,43,1,Ixtacomitán
7,43,9999,Localidad no especificada
7,44,0,Ixtapa
7,44,1,Ixtapa
7,44,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,44,9999,Localidad no especificada
7,45,0,Ixtapangajoya
7,45,1,Ixtapangajoya
7,46,0,Jiquipilas
7,46,1,Jiquipilas
7,46,78,Quintana Roo
7,46,103,Tierra y Libertad
7,46,104,Tiltepec
7,46,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,46,9999,Localidad no especificada
7,47,0,Jitotol
7,47,1,Jitotol
7,47,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,48,0,Juárez
7,48,1,Juárez
7,48,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,49,0,Larráinzar
7,49,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,50,0,La Libertad
7,50,1,La Libertad
7,50,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,51,0,Mapastepec
7,51,1,Mapastepec
7,51,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,52,0,Las Margaritas
7,52,1,Las Margaritas
7,52,28,Chiapas
7,52,75,Nuevo Huixtán
7,52,78,Nuevo San Juan Chamula (El Pacayal)
7,52,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,53,0,Mazapa de Madero
7,53,1,Mazapa de Madero
7,53,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,54,0,Mazatán
7,54,1,Mazatán
7,54,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,55,0,Metapa
7,55,1,Metapa de Domínguez
7,55,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,56,0,Mitontic
7,56,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,57,0,Motozintla
7,57,1,Motozintla de Mendoza
7,57,13,Belisario Domínguez
7,57,14,Bellavista
7,57,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,57,9999,Localidad no especificada
7,58,0,Nicolás Ruíz
7,58,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,59,0,Ocosingo
7,59,1,Ocosingo
7,59,431,Frontera Corozal
7,59,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,59,9999,Localidad no especificada
7,60,0,Ocotepec
7,60,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,61,0,Ocozocoautla de Espinosa
7,61,1,Ocozocoautla de Espinosa
7,61,1248,Apic Pac
7,61,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,61,9999,Localidad no especificada
7,62,0,Ostuacán
7,62,1,Ostuacán
7,62,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,63,0,Osumacinta
7,63,1,Osumacinta
7,63,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,64,0,Oxchuc
7,64,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,65,0,Palenque
7,65,1,Palenque
7,65,105,Río Chancalá
7,65,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,65,9999,Localidad no especificada
7,66,0,Pantelhó
7,66,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,67,0,Pantepec
7,67,1,Pantepec
7,67,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,68,0,Pichucalco
7,68,1,Pichucalco
7,68,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,68,9999,Localidad no especificada
7,69,0,Pijijiapan
7,69,1,Pijijiapan
7,69,3,Las Brisas
7,69,9,La Central
7,69,32,El Palmarcito
7,69,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,69,9999,Localidad no especificada
7,70,0,El Porvenir
7,70,1,El Porvenir de Velasco Suárez
7,70,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,71,0,Villa Comaltitlán
7,71,1,Villa Comaltitlán
7,71,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
7,72,0,Pueblo Nuevo Solistahuacán
7,72,1,Pueblo Nuevo Solistahuacán
7,72,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
